trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
جمال الدين,http://twitter.com/search?q=%22%D8%AC%D9%85%D8%A7%D9%84+%D8%A7%D9%84%D8%AF%D9%8A%D9%86%22,NA,%22%D8%AC%D9%85%D8%A7%D9%84+%D8%A7%D9%84%D8%AF%D9%8A%D9%86%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
المجلس الاعلي,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3+%D8%A7%D9%84%D8%A7%D8%B9%D9%84%D9%8A%22,NA,%22%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3+%D8%A7%D9%84%D8%A7%D8%B9%D9%84%D9%8A%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
ايران,http://twitter.com/search?q=%D8%A7%D9%8A%D8%B1%D8%A7%D9%86,NA,%D8%A7%D9%8A%D8%B1%D8%A7%D9%86,320355,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
الشرق الاوسط,http://twitter.com/search?q=%22%D8%A7%D9%84%D8%B4%D8%B1%D9%82+%D8%A7%D9%84%D8%A7%D9%88%D8%B3%D8%B7%22,NA,%22%D8%A7%D9%84%D8%B4%D8%B1%D9%82+%D8%A7%D9%84%D8%A7%D9%88%D8%B3%D8%B7%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
القوات المسلحه,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D9%87%22,NA,%22%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D9%87%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
Cancelo,http://twitter.com/search?q=Cancelo,NA,Cancelo,122405,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
روسيا,http://twitter.com/search?q=%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,NA,%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
#YalıÇapkını,http://twitter.com/search?q=%23Yal%C4%B1%C3%87apk%C4%B1n%C4%B1,NA,%23Yal%C4%B1%C3%87apk%C4%B1n%C4%B1,18448,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
علي اليوتيوب,http://twitter.com/search?q=%22%D8%B9%D9%84%D9%8A+%D8%A7%D9%84%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8%22,NA,%22%D8%B9%D9%84%D9%8A+%D8%A7%D9%84%D9%8A%D9%88%D8%AA%D9%8A%D9%88%D8%A8%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
الكويت,http://twitter.com/search?q=%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,NA,%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,39922,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
رييس الجمهوريه,http://twitter.com/search?q=%22%D8%B1%D9%8A%D9%8A%D8%B3+%D8%A7%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D9%87%22,NA,%22%D8%B1%D9%8A%D9%8A%D8%B3+%D8%A7%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D9%87%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
عبد المجيد,http://twitter.com/search?q=%22%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%85%D8%AC%D9%8A%D8%AF%22,NA,%22%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%85%D8%AC%D9%8A%D8%AF%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
سوسيداد,http://twitter.com/search?q=%D8%B3%D9%88%D8%B3%D9%8A%D8%AF%D8%A7%D8%AF,NA,%D8%B3%D9%88%D8%B3%D9%8A%D8%AF%D8%A7%D8%AF,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
30 جانفي 2023,http://twitter.com/search?q=%2230+%D8%AC%D8%A7%D9%86%D9%81%D9%8A+2023%22,NA,%2230+%D8%AC%D8%A7%D9%86%D9%81%D9%8A+2023%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
أمريكا,http://twitter.com/search?q=%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7,NA,%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7,128585,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
