trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Puebla,http://twitter.com/search?q=Puebla,NA,Puebla,33206,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
#TriplemaniaXXX,http://twitter.com/search?q=%23TriplemaniaXXX,NA,%23TriplemaniaXXX,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Larcamon,http://twitter.com/search?q=Larcamon,NA,Larcamon,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Damm,http://twitter.com/search?q=Damm,NA,Damm,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Fidalgo,http://twitter.com/search?q=Fidalgo,NA,Fidalgo,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Cruz Azul,http://twitter.com/search?q=%22Cruz+Azul%22,NA,%22Cruz+Azul%22,16721,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
#SUPERJUNIOR_KAMPLA2022,http://twitter.com/search?q=%23SUPERJUNIOR_KAMPLA2022,NA,%23SUPERJUNIOR_KAMPLA2022,19223,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Layún,http://twitter.com/search?q=Lay%C3%BAn,NA,Lay%C3%BAn,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Irapuato,http://twitter.com/search?q=Irapuato,NA,Irapuato,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Yankees,http://twitter.com/search?q=Yankees,NA,Yankees,116608,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Pagano,http://twitter.com/search?q=Pagano,NA,Pagano,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Pueblita,http://twitter.com/search?q=Pueblita,NA,Pueblita,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Azteca,http://twitter.com/search?q=Azteca,NA,Azteca,10630,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Rayados,http://twitter.com/search?q=Rayados,NA,Rayados,26895,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Romero,http://twitter.com/search?q=Romero,NA,Romero,21446,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Baca,http://twitter.com/search?q=Baca,NA,Baca,53280,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
#TOHSPOILERS,http://twitter.com/search?q=%23TOHSPOILERS,NA,%23TOHSPOILERS,29998,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Roger Martínez,http://twitter.com/search?q=%22Roger+Mart%C3%ADnez%22,NA,%22Roger+Mart%C3%ADnez%22,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
Villano IV,http://twitter.com/search?q=%22Villano+IV%22,NA,%22Villano+IV%22,NA,Mexico,23424900,2022-10-16T09:39:31Z,2022-10-15T01:28:39Z
