trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Potter,http://twitter.com/search?q=Potter,NA,Potter,176615,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Chelsea,http://twitter.com/search?q=Chelsea,NA,Chelsea,277741,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
#GSvADS,http://twitter.com/search?q=%23GSvADS,NA,%23GSvADS,48193,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
April Fools,http://twitter.com/search?q=%22April+Fools%22,NA,%22April+Fools%22,847184,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
#StandAndDeliver,http://twitter.com/search?q=%23StandAndDeliver,NA,%23StandAndDeliver,68558,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
كهربا,http://twitter.com/search?q=%D9%83%D9%87%D8%B1%D8%A8%D8%A7,NA,%D9%83%D9%87%D8%B1%D8%A8%D8%A7,NA,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
#الهلال_الخليج,http://twitter.com/search?q=%23%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84_%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC,NA,%23%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84_%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC,38792,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
عبد القادر,http://twitter.com/search?q=%22%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1%22,NA,%22%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1%22,NA,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
#CheAvl,http://twitter.com/search?q=%23CheAvl,NA,%23CheAvl,50669,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Hyoran,http://twitter.com/search?q=Hyoran,NA,Hyoran,NA,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Bayern,http://twitter.com/search?q=Bayern,NA,Bayern,121509,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Dortmund,http://twitter.com/search?q=Dortmund,NA,Dortmund,80846,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Tuchel,http://twitter.com/search?q=Tuchel,NA,Tuchel,61117,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
#FCBBVB,http://twitter.com/search?q=%23FCBBVB,NA,%23FCBBVB,34046,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Ara Seçim,http://twitter.com/search?q=%22Ara+Se%C3%A7im%22,NA,%22Ara+Se%C3%A7im%22,NA,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Melo,http://twitter.com/search?q=Melo,NA,Melo,23482,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Villa,http://twitter.com/search?q=Villa,NA,Villa,111908,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Ansu,http://twitter.com/search?q=Ansu,NA,Ansu,19499,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Pavon,http://twitter.com/search?q=Pavon,NA,Pavon,NA,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
Onyekuru,http://twitter.com/search?q=Onyekuru,NA,Onyekuru,14885,Worldwide,1,2023-04-02T02:16:09Z,2023-03-30T14:43:00Z
